R,lim,r,p,q,N,sigma_abs,r_sigma,c0,c1,c2,c3
44.8913,45.0,0.000000,0,0,0,0.000000,0.000000,0,0,0,0
44.8913,45.0,321.996894,28657,46368,1,0.003106,1.000000,0,-1440,-890,-1440
44.8913,45.0,321.996894,28657,46368,1,0.003106,1.000000,2330,-890,890,-2330
44.8913,45.0,321.996894,28657,46368,1,0.003106,1.000000,-1440,1440,0,2330
44.8913,45.0,321.996894,28657,46368,1,0.003106,1.000000,-2330,0,-1440,1440
44.8913,45.0,321.996894,28657,46368,1,0.003106,1.000000,1440,890,1440,0
40.6982,45.0,122.991869,4181,6765,1,0.008131,1.000000,0,550,340,550
40.6982,45.0,122.991869,4181,6765,1,0.008131,1.000000,550,-550,0,-890
40.6982,45.0,122.991869,4181,6765,1,0.008131,1.000000,-890,340,-340,890
40.6982,45.0,122.991869,4181,6765,1,0.008131,1.000000,890,0,550,-550
40.6982,45.0,122.991869,4181,6765,1,0.008131,1.000000,-550,-340,-550,0
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,1100,340,890,-340
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,1440,-340,680,-1230
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,-1100,760,-210,1440
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,-340,-760,-680,-550
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,-550,890,210,1230
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,340,-890,-340,-1100
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,550,680,760,340
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,1230,-680,340,-1440
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,-1230,-210,-890,550
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,-1440,210,-760,1100
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,1780,210,1230,-890
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,1990,-210,1100,-1440
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,-1780,890,-550,1990
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,-890,-890,-1100,-340
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,-340,1230,550,1440
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,890,-1230,-210,-1780
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,340,1100,890,890
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,1440,-1100,210,-1990
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,-1440,-550,-1230,340
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,-1990,550,-890,1780
40.6982,45.0,352.968837,34435,55717,31,0.015774,5.567764,2330,340,1650,-1100
40.6982,45.0,352.968837,34435,55717,31,0.015774,5.567764,2670,-340,1440,-1990
40.6982,45.0,352.968837,34435,55717,31,0.015774,5.567764,-2330,1230,-680,2670
40.6982,45.0,352.968837,34435,55717,31,0.015774,5.567764,-1100,-1230,-1440,-550
40.6982,45.0,352.968837,34435,55717,31,0.015774,5.567764,-550,1650,680,1990
40.6982,45.0,352.968837,34435,55717,31,0.015774,5.567764,1100,-1650,-340,-2330
40.6982,45.0,352.968837,34435,55717,31,0.015774,5.567764,550,1440,1230,1100
40.6982,45.0,352.968837,34435,55717,31,0.015774,5.567764,1990,-1440,340,-2670
40.6982,45.0,352.968837,34435,55717,31,0.015774,5.567764,-1990,-680,-1650,550
40.6982,45.0,352.968837,34435,55717,31,0.015774,5.567764,-2670,680,-1230,2330
40.6982,45.0,398.010050,43784,70844,16,0.010050,4.000000,0,1780,1100,1780
40.6982,45.0,398.010050,43784,70844,16,0.010050,4.000000,1780,-1780,0,-2880
40.6982,45.0,398.010050,43784,70844,16,0.010050,4.000000,-2880,1100,-1100,2880
40.6982,45.0,398.010050,43784,70844,16,0.010050,4.000000,2880,0,1780,-1780
40.6982,45.0,398.010050,43784,70844,16,0.010050,4.000000,-1780,-1100,-1780,0
40.6982,45.0,423.458380,49562,80193,61,0.018444,7.810250,2540,680,1990,-890
40.6982,45.0,423.458380,49562,80193,61,0.018444,7.810250,3220,-680,1570,-2670
40.6982,45.0,423.458380,49562,80193,61,0.018444,7.810250,-2540,1650,-550,3220
40.6982,45.0,423.458380,49562,80193,61,0.018444,7.810250,-890,-1650,-1570,-1100
40.6982,45.0,423.458380,49562,80193,61,0.018444,7.810250,-1100,1990,550,2670
