出発点 id=0   最大τ=122
   k   |E_k|     内部辺   →E_k+1    分裂     合流
   0       1       0        4     1      0
   1       4       0       10     4      1
   2       9       3       10     6      0
   3      10       4       14     6      0
   4      14       3       20    11      4
   5      16       4       22    12      0
   6      22       9       24    13      2
   7      22       6       32    16      7
   8      25       3       34    22      4
   9      30      12       42    18      3
  10      39      10       52    29      9
  11      43      10       66    33     14
  12      50      13       56    37      7
  13      49      20       62    29     11
  14      51      13       66    38     12
  15      54      16       80    38     13
  16      65      16       76    49     12
  17      64      22       78    42     13
  18      65      23       72    42     10
  19      62      18       80    44     10
  20      70      22       90    48     16
  21      74      20       92    54     18
  22      74      23       88    51     14
  23      74      22      100    52     17
  24      83      20      108    63     24
  25      82      18      102    64     13
  26      89      38       98    51     14
  27      84      24       94    60     20
  28      74      19      100    55     10
  29      90      24      108    66     21
  30      87      28      110    59     12
  31      98      32      104    66     15
  32      87      26      114    61     16
  33      98      22      126    76     22
  34     104      28      140    76     16
  35     124      38      144    86     20
  36     124      32      160    92     34
  37     124      27      144    97     18
  38     124      39      150    85     17
  39     133      52      142    81     21
  40     121      37      146    84     22
  41     124      28      164    96     29
  42     135      28      178   107     26
  43     152      54      186    98     21
  44     165      48      190   117     32
  45     158      40      226   118     34
  46     190      55      220   135     38
  47     176      62      202   114     20
  48     182      64      210   118     32
  49     178      50      236   128     50
  50     186      35      230   151     40
  51     190      58      236   132     30
  52     204      76      208   128     29
  53     179      54      212   125     35
  54     177      42      236   135     39
  55     197      61      236   136     38
  56     198      73      212   125     29
  57     183      58      216   125     35
  58     181      46      236   135     42
  59     194      42      244   152     34
  60     210      74      260   136     31
  61     229      81      226   148     47
  62     179      43      230   136     28
  63     202      52      260   150     40
  64     220      81      262   139     32
  65     230      74      246   156     41
  66     201      57      256   144     40
  67     216      56      258   160     46
  68     212      66      272   146     36
  69     236      70      274   166     50
  70     224      61      278   163     54
  71     224      52      264   172     38
  72     222      68      270   154     34
  73     236      94      250   142     30
  74     220      69      262   151     44
  75     218      50      294   168     51
  76     243      64      302   179     52
  77     250      86      290   164     32
  78     258      82      298   176     57
  79     241      66      312   175     52
  80     260      59      322   201     54
  81     260      88      308   172     37
  82     271      90      282   181     46
  83     232      64      304   168     48
  84     256      50      312   206     63
  85     247      77      318   170     34
  86     284      94      292   190     43
  87     245      68      316   177     48
  88     268      70      322   198     46
  89     276      88      346   188     46
  90     300      84      356   216     52
  91     300      78      374   222     64
  92     302      72      360   230     50
  93     304      90      360   214     56
  94     304     102      340   202     52
  95     288      88      336   200     50
  96     286      62      390   224     68
  97     322      76      396   246     49
  98     345     141      410   204     44
  99     366      92      428   274     84
 100     338      87      458   251     58
 101     396     122      460   274     79
 102     371     120      434   251     67
 103     367     111      406   256     58
 104     348     104      444   244     82
 105     362      72      416   290     78
 106     334      97      372   237     54
 107     314     130      294   184     37
 108     257      88      280   169     48
 109     232      50      302   182     48
 110     254      66      328   188     50
 111     278     102      320   176     52
 112     268      82      254   186     46
 113     208      74      232   134     34
 114     198      38      218   160     50
 115     164      48      194   116     20
 116     174      74      146   100     30
 117     116      44      120    72     14
 118     106      24      116    82     22
 119      94       6      140    88     24
 120     116      46      100    70      6
 121      94      44       44    50     22
 122      22       0        0    22      0
