出発点 id=176   最大τ=126
   k   |E_k|     内部辺   →E_k+1    分裂     合流
   0       1       0        3     1      0
   1       3       0        8     3      0
   2       8       2       11     6      0
   3      11       4       15     7      1
   4      14       3       21    11      3
   5      17       4       23    13      3
   6      20       6       27    14      2
   7      25       8       32    17      2
   8      30      11       40    19      9
   9      31       4       44    27      9
  10      34       8       50    26      4
  11      46      20       51    26      7
  12      44      14       60    30     14
  13      46       9       61    37      9
  14      52      17       70    35     11
  15      59      20       65    39      9
  16      56      21       64    35      9
  17      55      14       70    41     13
  18      57      13       80    44     12
  19      68      25       78    43      8
  20      70      21       85    49     15
  21      69      17       90    52     17
  22      73      21       89    52     15
  23      74      23       92    51     16
  24      76      23       88    53     14
  25      74      20      101    54     19
  26      81      15       99    66     18
  27      81      29      100    52     10
  28      90      31      104    59     20
  29      84      22      106    62     15
  30      91      27      115    64     17
  31      98      28      133    70     23
  32     110      28      132    82     20
  33     111      36      140    75     17
  34     121      30      143    91     26
  35     115      32      147    83     19
  36     127      38      151    89     23
  37     127      42      143    85     22
  38     121      31      149    90     26
  39     122      29      154    93     25
  40     129      40      156    89     20
  41     135      45      155    90     21
  42     134      44      159    90     25
  43     134      33      177   101     28
  44     149      43      192   106     25
  45     166      57      191   109     26
  46     164      49      203   115     40
  47     163      33      210   130     34
  48     175      56      216   119     28
  49     187      62      212   125     35
  50     176      50      209   126     32
  51     174      48      212   126     33
  52     179      49      223   130     37
  53     186      55      220   131     29
  54     190      64      211   126     34
  55     175      47      214   128     31
  56     183      50      231   133     36
  57     195      59      238   136     33
  58     205      68      231   137     38
  59     193      53      250   140     43
  60     206      51      245   155     38
  61     207      72      258   135     29
  62     229      73      266   156     51
  63     213      60      257   153     33
  64     223      75      258   148     43
  65     215      60      277   155     54
  66     223      64      251   159     31
  67     219      75      273   144     43
  68     230      53      277   177     58
  69     216      62      258   154     32
  70     226      73      258   153     38
  71     220      69      256   151     42
  72     214      60      257   154     38
  73     217      55      268   162     48
  74     220      63      263   157     31
  75     232      84      260   148     37
  76     223      64      270   159     43
  77     227      55      295   172     51
  78     244      68      308   176     45
  79     261      85      287   176     40
  80     246      77      306   169     55
  81     251      49      313   202     55
  82     252      84      305   168     27
  83     278      88      332   190     64
  84     266      68      333   198     54
  85     275      78      318   197     40
  86     278      85      357   193     60
  87     297      79      355   218     56
  88     294      86      361   208     53
  89     307      83      359   224     57
  90     298      89      357   209     54
  91     299      85      347   214     50
  92     295      96      341   199     55
  93     285      78      345   207     58
  94     284      70      347   214     54
  95     291      86      360   205     45
  96     314      98      368   216     57
  97     309      98      366   211     49
  98     316      85      393   231     65
  99     328      92      423   236     64
 100     357     109      402   248     47
 101     351     115      412   236     69
 102     342      77      409   265     77
 103     327      94      378   233     56
 104     318     108      337   210     51
 105     286      88      316   198     57
 106     254      68      299   186     44
 107     253      59      323   194     53
 108     270      83      323   187     46
 109     276      94      277   182     47
 110     226      70      254   156     37
 111     217      55      261   162     43
 112     218      69      273   149     37
 113     236      81      224   155     37
 114     186      59      228   127     46
 115     181      35      205   146     42
 116     161      64      172    97      7
 117     165      62      177   103     42
 118     135      19      174   116     32
 119     140      54      139    86      9
 120     130      46      147    84     33
 121     114      27      120    87     17
 122     103      33      100    70     16
 123      84      20       81    64     17
 124      64      24       48    40      4
 125      44      20       20    24     10
 126      10       0        0    10      0
